IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_UG_APPLE_FF15_FLAVOR	少女がモーグリ人形に込めた、淡い恋心<br>を記憶しているといわれる林檎。手に持<br>つと、少女が王子を想う儚く切ない心が<br>流れ込んできて、使用者に溢れんばかり<br>の力を与えてくれるという。
IT_UG_APPLE_FA_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_FA_FLAVOR	錬丹術の達人の記憶が込められたといわ<br>れる林檎。手に持つとその記憶と龍脈の<br>“気”が受け継がれ、永遠に使用者の中<br>で生き続けるという。懐かしい匂いがし<br>、シャオメイが大好物の林檎でもある。
IT_UG_APPLE_AOT_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_AOT_FLAVOR	ウォール・マリア内に暮らす人類の記憶<br>を込めたといわれる林檎。手に持つと人<br>類が戦ってきた記憶が受け継がれ、永遠<br>に使用者の中で生き続けるという。奪わ<br>れると、奪還への思いに駆られる。
IT_UG_APPLE_TS_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_TS_FLAVOR	伝説の騎士団〈七つの大罪〉らが王国を<br>守りし記憶を込めたといわれる林檎。手<br>に持つとその記憶は受け継がれ、永遠に<br>使用者の中で生き続けるという。林檎に<br>はホークの噛りついた跡があることも。
IT_UG_APPLE_JK_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE_JK_FLAVOR	呪骸のツカモトの記憶を込めたと言われ<br>る林檎。手に持つとその記憶が受け継が<br>れ、永遠に使用者の中で生き続けるとい<br>う。触れた者が一定の呪力を常に流し込<br>まないと殴りかかってくるのだとか。
IT_UG_APPLE_CHRISTMAS_2021_EXPR	ユニットの経験値が奇跡的にアップするリンゴ
IT_UG_APPLE_CHRISTMAS_2021_FLAVOR	世界の冒険者がクリスマスの記憶を込め<br>たといわれる林檎。手に持つとその記憶<br>が受け継がれ、永遠に使用者の中で生き<br>続けるという。守りたい笑顔を思い出さ<br>せ、新たな力を与えてくれる。
IT_UG_APPLE_80CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_80CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_90CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_90CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_100CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_100CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_110CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_110CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_120CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_120CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_130CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_130CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_140CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_140CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_150CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_150CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_160CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_160CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_200CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_200CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_222CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_222CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_500CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_500CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_600CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_600CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_900CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_900CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_1000CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_1000CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_1100CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_1100CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_1200CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_1200CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE_1250CP_EXPR	ユニットの経験値が超絶アップするリンゴ
IT_UG_APPLE_1250CP_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。少女が持つ林檎には、未来を見通<br>す力が備わっており非常にレアな代物。
IT_UG_APPLE999_EXPR	ユニットの経験値が特大アップするリンゴ
IT_UG_APPLE999_FLAVOR	世界の冒険者がその記憶を込めたといわ<br>れる林檎。手に持つとその記憶は受け継<br>がれ、永遠に使用者の中で生き続けると<br>いう。虹色は時代を超えて記憶を有して<br>いると言われ、ほぼ手に入らない。
IT_SG_POT1_EXPR	強化ポイントが小アップする壺
IT_SG_POT1_FLAVOR	錬金術で精製した壺にアルケミィを込め<br>た品。ふたを開けることで解放され、対<br>象のアイテムが含有するアルケミィを刺<br>激する。すべての光が収まった時、アイ<br>テム錬成度がわずかに上がる。
IT_SG_POT2_EXPR	強化ポイントが中アップする壺
IT_SG_POT2_FLAVOR	錬金術で精製した壺にアルケミィを込め<br>た品。ふたを開けることで解放され、対<br>象のアイテムが含有するアルケミィを刺<br>激する。すべての光が収まった時、アイ<br>テム錬成度が上がる。
IT_SG_POT3_EXPR	強化ポイントが大アップする壺
IT_SG_POT3_FLAVOR	錬金術で精製した壺にアルケミィを込め<br>た品。ふたを開けることで解放され、対<br>象のアイテムが含有するアルケミィを刺<br>激する。すべての光が収まった時、アイ<br>テム錬成度がかなり上がる。
IT_CV_GOLD1_EXPR	8000ゼニーに交換できる銅の塊
IT_CV_GOLD1_FLAVOR	かつて金を錬成するために作られたとい<br>う各地の錬金鉱から採掘された塊。価値<br>が高いものほど錬金鉱の奥で作成されて<br>いたといい、銅塊は入口にほど近いとこ<br>ろに多く採掘される。
IT_CV_GOLD2_EXPR	20000ゼニーに交換できる銀の塊
IT_CV_GOLD2_FLAVOR	かつて金を錬成するために作られたとい<br>う各地の錬金鉱から採掘された塊。価値<br>が高いものほど錬金鉱の奥で作成されて<br>いたといい、銀塊はちょうど中間地点で<br>多く採掘される。
IT_CV_GOLD3_EXPR	80000ゼニーに交換できる金の塊
IT_CV_GOLD3_FLAVOR	かつて金を錬成するために作られたとい<br>う各地の錬金鉱から採掘された塊。価値<br>が高いものほど錬金鉱の奥で作成されて<br>いたといい、金塊は最深部で多く採掘さ<br>れ、価値が非常に高い。
IT_CV_GOLD3_SPECIAL_EXPR	100000000ゼニーに交換できる金の塊
IT_CV_GOLD3_SPECIAL_FLAVOR	初夢タガタメ宝くじ特賞の景品。
IT_CV_GOLD4_EXPR	160000ゼニーに交換できる虹晶の塊
IT_CV_GOLD4_FLAVOR	かつて金を錬成するために作られたとい<br>う各地の錬金鉱から採掘された塊。価値<br>が高いものほど錬金鉱の奥で作成されて<br>いたといい、虹晶塊は最深部で偶然採掘<br>され、非常に希少。
IT_CV_LIZARD_EXPR	高額で買い取ってもらえる立派になった漢の魂の欠片
IT_CV_LIZARD_FLAVOR	2018年のエイプリルフールの失敗から1<br>年が経ち立派になったつもりのリザード<br>マンだったが、運営に成長を認めてもら<br>えず魂の欠片としての使用許可がおりな<br>かった。ショップ店員みんながそのこと<br>を憐れんでおり、高額で買い取ってくれ<br>るらしい。
IT_CV_LIZARD_02_EXPR	高額で買い取ってもらえる漢(おとこ)の魂の欠片
IT_CV_LIZARD_02_FLAVOR	一昨年苦渋の思いで1ゼニー値下げし、9<br>9,999,999ゼニーで販売した己の魂の欠<br>片を更にバージョンアップ。数年前の大<br>クレームから一転、昨年飛ぶように売れ<br>たことで自信を付けたリザードマンがま<br>たも1億ゼニーという高額な価格設定を<br>強行。ショップ店員の仲間たちは、いつ<br>も通り高額買取のための資金調達に苦し<br>んでいるが、リザードマンはそのことを<br>知らない。尚、お買い求めいただいた場<br>合にリザードマンは返金する意思はない<br>とのこと。
